"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3"
"BWZVCCNYKMEVEX-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines"
"BXDMRIPPLXNONS-NXANOWHXNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Piperidines","","Piperidines"
"BXFDSXRULGPMLO-OOROXEKTNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids"
"BXXSHQYDJWZXPB-OKNSCYNVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids"
"BZKUYNBAFQJRDM-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","Aporphines","","Aporphines"
"CBHABFQDMCRWKQ-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Aporphines","","Aporphines"
"CBPJQFCAFFNICX-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Leucine and derivatives"
"CELZEZYUAVUZRU-NXVVXOECNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines","N-alkylpyrrolidines"
"CKUVNOCSBYYHIS-IRFFNABBSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"CMPQUABWPXYYSH-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Aryl phosphates","Aryl phosphomonoesters","Phenyl phosphates"
"CNPDLOWQKDIMOD-BJHGHFSQNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides"
"COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives"
"COLNVLDHVKWLRT-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives"
"CORBMZCTOZNVHZ-IOMOGOHMNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactams","Beta lactams","Carbapenems"
"CPELXLSAUQHCOX-UHFFFAOYSA-M","Completed","Inorganic compounds","Homogeneous non-metal compounds","Halogen organides","Halogen hydrides","Halogen hydrides"
"CQHCJXYZMUYPIT-QXSYRSHVNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"CQSLTKIXAJTQGA-FLIBITNWSA-M","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"CQZSNPXVUHNSBI-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Hydroxyflavonoids","5-hydroxyflavonoids"
"CRCIHGGZGGATGM-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"CUQCMXFWIMOWRP-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Guanidines","Biguanides","Arylbiguanides","1-arylbiguanides"
"CUVIKLNIJJAXLF-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolines","","Pyrrolines"
"CYZIYICOTBDCKH-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Pentacarboxylic acids and derivatives","Pentacarboxylic acids and derivatives"
"CZLGNKWWWPJGFM-YIQLZBEBNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides"
"DCXYFEDJOCDNAF-REOHCLBHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Asparagine and derivatives"
"DCXYFEDJOCDNAF-RUOZJJLTNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Asparagine and derivatives"
"DCZMMILMODFEMS-LGRZIQDRNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds"
"DEYOPPCMWKYOEN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzodioxoles","","Benzodioxoles"
"DFZHDDNFAQXALN-QWEQKNAVNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid 5-O-p-coumaroyl glycosides"
"DHBRFQPOOWANLV-QSXOWLGYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cycloartanols and derivatives","Cycloartanols and derivatives"
"DHEFJFKRWXSOLG-GXDHUFHONA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins","Hydrolyzable tannins"
"DHLKWTYFRQQWEW-FPEQPRHNNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Pentacarboxylic acids and derivatives","Pentacarboxylic acids and derivatives"
"DJVQAKQVQXIHEL-UILGYWMGSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Glycosylglycerols","Glycosyldiradylglycerols","Glycosyldiacylglycerols","1,2-diacyl-3-O-beta-D-galactosyl-sn-glycerols"
"DKCGTIMNFPMKNS-VBGIBJMNNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","Cyclohexanols"
"DKFVASQTSIAAEU-XUIVRNCCNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives"
"DNOXHEYZHIAEEI-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Acylaminobenzoic acid and derivatives"
"DNUPSKJMHPRNPH-XAZJEUBWNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides"
"DOIRQSBPFJWKBE-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters"
"DPCVZFSENRMFKS-GOSISDBHSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives","Hydroquinolones"
"DQUHDYWUEKWRLN-HPUSYDDDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Kaurane diterpenoids"
"DRENPLQXPKBWFG-LKSBBMKRNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives"
